,Call Ask Price,Expiry Date,Put Ask Price,spot price,strike price,Difference months,5% Appreciation Expected Gain,5% Appreciation No of Frequency,5% Depreciation Expected Gain,5% Depreciation No of Frequency,10% Appreciation Expected Gain,10% Appreciation No of Frequency,10% Depreciation Expected Gain,10% Depreciation No of Frequency,20% Appreciation Expected Gain,20% Appreciation No of Frequency,20% Depreciation Expected Gain,20% Depreciation No of Frequency,30% Appreciation Expected Gain,30% Appreciation No of Frequency,30% Depreciation Expected Gain,30% Depreciation No of Frequency,40% Appreciation Expected Gain,40% Appreciation No of Frequency,40% Depreciation Expected Gain,40% Depreciation No of Frequency
0,2214.4,22/02/2024,1.3,22000,20000,0.0667,1.3999,0.0934,-692.3077,-46.1769,1.8967,0.1265,153.8462,10.2615,2.8902,0.1928,1846.1538,123.1385,3.8837,0.259,3538.4615,236.0154,4.8772,0.3253,5230.7692,348.8923
1,2258.6,29/02/2024,3.25,22000,20000,0.3,1.3725,0.4118,-276.9231,-83.0769,1.8596,0.5579,61.5385,18.4615,2.8336,0.8501,738.4615,221.5384,3.8077,1.1423,1415.3846,424.6154,4.7817,1.4345,2092.3077,627.6923
2,2329.45,07/03/2024,7.15,22000,20000,0.5667,1.3308,0.7542,-125.8741,-71.3329,1.803,1.0218,27.972,15.8517,2.7474,1.557,335.6643,190.221,3.6919,2.0922,643.3566,364.5902,4.6363,2.6274,951.049,538.9595
3,2356.55,14/03/2024,-,22000,20000,0.8,1.3155,1.0524,-,-,1.7823,1.4258,-,-,2.7158,2.1726,-,-,3.6494,2.9195,-,-,4.583,3.6664,-,-
4,2406.7,28/03/2024,22.05,22000,20000,1.2667,1.2881,1.6316,-40.8163,-51.702,1.7451,2.2105,9.0703,11.4893,2.6592,3.3684,108.8435,137.8721,3.5734,4.5264,208.6168,264.2549,4.4875,5.6843,308.39,390.6376
5,2550.0,25/04/2024,45.3,22000,20000,2.1667,1.2157,2.6341,-19.8675,-43.0469,1.6471,3.5688,4.415,9.566,2.5098,5.438,52.9801,114.792,3.3725,7.3072,101.5453,220.0182,4.2353,9.1766,150.1104,325.2442
6,2867.6,27/06/2024,185.35,22000,20000,4.2333,1.081,4.5762,-4.8557,-20.5556,1.4646,6.2001,1.079,4.5677,2.2318,9.4479,12.9485,54.8149,2.999,12.6957,24.8179,105.0616,3.7662,15.9435,36.6873,155.3083
7,-,26/09/2024,450.0,22000,20000,7.2,-,-,-2.0,-14.4,-,-,0.4444,3.1997,-,-,5.3333,38.3998,-,-,10.2222,73.5998,-,-,15.1111,108.7999
8,3501.15,26/12/2024,277.0,22000,20000,10.2,0.8854,9.0311,-3.2491,-33.1408,1.1996,12.2359,0.722,7.3644,1.828,18.6456,8.6643,88.3759,2.4563,25.0543,16.6065,169.3863,3.0847,31.4639,24.5487,250.3967
9,-,26/06/2025,585.0,22000,20000,16.3667,-,-,-1.5385,-25.1802,-,-,0.3419,5.5958,-,-,4.1026,67.146,-,-,7.8632,128.6946,-,-,11.6239,190.2449
10,5000.0,24/12/2025,-,22000,20000,22.3,0.62,13.826,-,-,0.84,18.732,-,-,1.28,28.544,-,-,1.72,38.356,-,-,2.16,48.168,-,-
11,-,25/06/2026,-,22000,20000,28.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,31/12/2026,-,22000,20000,34.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,24/06/2027,-,22000,20000,40.6333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,30/12/2027,599.95,22000,20000,46.8333,-,-,-1.5001,-70.2546,-,-,0.3334,15.6142,-,-,4.0003,187.3472,-,-,7.6673,359.085,-,-,11.3343,530.8227
15,-,29/06/2028,-,22000,20000,52.9667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,28/12/2028,-,22000,20000,58.9333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
